Data e Hora de Geracao: -24-06-2024-12:31:58
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.000584,0.000327,0.001366,0.000850,0.000243,0.002680,0.000580,0.000326,0.000256,0.000846,0.000550,0.002680,0.000582,0.000328,0.001340,0.000845,0.001076,0.002723,
100000,0.006047,0.003371,0.013668,0.008700,0.002433,0.027126,0.006057,0.003380,0.002676,0.008722,0.005585,0.027113,0.006037,0.003402,0.013685,0.008737,0.010896,0.027312,
500000,0.039740,0.019928,0.082236,0.049550,0.014727,0.149705,0.038911,0.019893,0.015509,0.049625,0.032713,0.149845,0.038898,0.019910,0.082239,0.049580,0.062648,0.150429,
1000000,0.069211,0.040071,0.165206,0.098609,0.029378,0.298690,0.069982,0.039982,0.031150,0.099114,0.065313,0.299115,0.069129,0.040356,0.166074,0.099116,0.124767,0.298616,
Tempo Total,33.730946
Tempo Medio Total,0.046849
